Racism and STEM  (All Fields) and 1997-2024 (Publication Years)
Timespan: 1997-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"INTERSECTING OPPRESSIONS AND ONLINE COMMUNITIES Examining the experiences of women of color in Xbox Live","Gray, Kishonna L.","","","","INFORMATION COMMUNICATION & SOCIETY","2012","2012","15","3","","","SI","411","428","","10.1080/1369118X.2011.642401","","","120","9.23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","3","6","11","12","13","18","18","16","19","0"
"Perceived Gender and Racial/Ethnic Barriers to STEM Success","Grossman, Jennifer M.; Porche, Michelle V.","","","","URBAN EDUCATION","SEP 2014","2014","49","6","","","","698","727","","10.1177/0042085913481364","","","113","10.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","9","2","11","11","24","32","17","1"
"Secessionist automobility: Racism, anti-urbanism, and the politics of automobility in Atlanta, Georgia","Henderson, Jason","","","","INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH","JUN 2006","2006","30","2","","","","293","307","","10.1111/j.1468-2427.2006.00662.x","","","94","4.95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","3","3","3","4","5","7","11","7","11","7","11","12","3","1","1"
"Promoting inclusive metrics of success and impact to dismantle a discriminatory reward system in science","Davies, Sarah W.; Putnam, Hollie M.; Ainsworth, Tracy; Baum, Julia K.; Bove, Colleen B.; Crosby, Sarah C.; Cote, Isabelle M.; Duplouy, Anne; Fulweiler, Robinson W.; Griffin, Alyssa J.; Hanley, Torrance C.; Hill, Tessa; Humanes, Adriana; Mangubhai, Sangeeta; Metaxas, Anna; Parker, Laura M.; Rivera, Hanny E.; Silbiger, Nyssa J.; Smith, Nicola S.; Spalding, Ana K.; Traylor-Knowles, Nikki; Weigel, Brooke L.; Wright, Rachel M.; Bates, Amanda E.","","","","PLOS BIOLOGY","JUN 2021","2021","19","6","","","","","","e3001282","10.1371/journal.pbio.3001282","","","83","20.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","44","31","2"
"Youth Anti-Racist Engagement: Conceptualization, Development, and Validation of an Anti-Racism Action Scale","Aldana, Adriana; Banales, Josefina; Richards-Schuster, Katie","","","","ADOLESCENT RESEARCH REVIEW","DEC 2019","2019","4","4","","","","369","381","","10.1007/s40894-019-00113-1","","","83","13.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","12","30","24","7"
"The Impact of African Americans' Beliefs About HIV Medical Care on Treatment Adherence: A Systematic Review and Recommendations for Interventions","Gaston, Gina B.; Alleyne-Green, Binta","","","","AIDS AND BEHAVIOR","JAN 2013","2013","17","1","","","","31","40","","10.1007/s10461-012-0323-x","","","83","6.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","3","7","5","12","12","11","9","5","11","3"
"Whiteliness and institutional racism: hiding behind (un) conscious bias","Tate, Shirley Anne; Page, Damien","","","","ETHICS AND EDUCATION","2018","2018","13","1","","","SI","141","155","","10.1080/17449642.2018.1428718","","","81","11.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","14","26","17","12","4"
"Colorblind Mentoring? Exploring White Faculty Mentoring of Students of Color","McCoy, Dorian L.; Winkle-Wagner, Rachelle; Luedke, Courtney L.","","","","JOURNAL OF DIVERSITY IN HIGHER EDUCATION","DEC 2015","2015","8","4","","","","225","242","","10.1037/a0038676","","","75","7.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","6","22","13","12","14","3"
"Racism in the form of micro aggressions and the risk of preterm birth among black women","Slaughter-Acey, Jaime C.; Sealy-Jefferson, Shawnita; Helmkamp, Laura; Caldwell, Cleopatra H.; Osypuk, Theresa L.; Platt, Robert W.; Straughen, Jennifer K.; Dailey-Okezie, Rhonda K.; Abeysekara, Purni; Misra, Dawn P.","","","","ANNALS OF EPIDEMIOLOGY","JAN 2016","2016","26","1","","","","7","13","","10.1016/j.annepidem.2015.10.005","","","69","7.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","7","7","10","14","15","11","2"
"Ten simple rules for building an antiracist lab","Chaudhary, V. Bala; Berhe, Asmeret Asefaw","","","","PLOS COMPUTATIONAL BIOLOGY","OCT 2020","2020","16","10","","","","","","e1008210","10.1371/journal.pcbi.1008210","","","67","13.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","18","25","19","4"
"HIV risk and prevention among Asian/Pacific islander men who have sex with men: Listen to our stories","Nemoto, T; Operario, D; Soma, T; Bao, D; Vajrabukka, A; Crisostomo, V","","","","AIDS EDUCATION AND PREVENTION","FEB 2003","2003","15","1","","A","","7","20","","10.1521/aeap.15.1.5.7.23616","","","66","3.00","0","0","0","0","0","0","0","0","0","0","0","1","2","7","5","4","4","4","4","4","2","5","5","3","2","3","2","2","3","3","1","0","0"
""I can't breathe": A case study-Helping Black men cope with race-related trauma stemming from police killing and brutality","Aymer, Samuel R.","","","","JOURNAL OF HUMAN BEHAVIOR IN THE SOCIAL ENVIRONMENT","MAY 18 2016","2016","26","3-4","","","SI","367","376","","10.1080/10911359.2015.1132828","","","62","6.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","8","12","21","10","8","0"
"The translocation of culture: 'community cohesion' and the force of multiculturalism in history","Werbner, P","","","","SOCIOLOGICAL REVIEW","NOV 2005","2005","53","4","","","","745","768","","10.1111/j.1467-954X.2005.00594.x","","","62","3.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","4","7","6","6","7","2","5","5","4","3","2","1","2","4","0","0"
"Application of the Minority Stress Theory: Understanding the Mental Health of Undocumented Latinx Immigrants","Valentin-Cortes, Mislael; Benavides, Quetzabel; Bryce, Richard; Rabinowitz, Ellen; Rion, Raymond; Lopez, William D.; Fleming, Paul J.","","","","AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY","DEC 2020","2020","66","3-4","","","SI","325","336","","10.1002/ajcp.12455","","","58","11.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","22","22","6"
"From Description to Explanation: An Empirical Exploration of the African-American Pipeline Problem in STEM","Brown, Bryan A.; Henderson, J. Bryan; Gray, Salina; Donovan, Brian; Sullivan, Shayna; Patterson, Alexis; Waggstaff, William","","","","JOURNAL OF RESEARCH IN SCIENCE TEACHING","JAN 2016","2016","53","1","","","","146","177","","10.1002/tea.21249","","","58","6.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","6","3","8","14","10","6","3"
"Racial bias is associated with ingroup death rate for Blacks and Whites: Insights from Project Implicit","Leitner, Jordan B.; Hehman, Eric; Ayduk, Ozlem; Mendoza-Denton, Rodolfo","","","","SOCIAL SCIENCE & MEDICINE","DEC 2016","2016","170","","","","","220","227","","10.1016/j.socscimed.2016.10.007","","","57","6.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","3","9","12","8","8","9","1"
"Continuing the conversation in nursing on race and racism","Hall, Joanne M.; Fields, Becky","","","","NURSING OUTLOOK","MAY-JUN 2013","2013","61","3","","","","164","173","","10.1016/j.outlook.2012.11.006","","","56","4.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","5","4","5","7","8","3","9","8","4","0"
"Black Adolescents' Critical Reflection Development: Parents' Racial Socialization and Attributions About Race Achievement Gaps","Banales, Josefina; Marchand, Aixa D.; Skinner, Olivenne D.; Anyiwo, Nkemka; Rowley, Stephanie J.; Kurtz-Costes, Beth","","","","JOURNAL OF RESEARCH ON ADOLESCENCE","FEB 2020","2020","30","","","2","","403","417","","10.1111/jora.12485","","","55","11.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","12","13","13","11","4"
"Understanding barriers to health care access through cultural safety and ethical space: Indigenous people's experiences in Prince George, Canada","Nelson, Sarah E.; Wilson, Kathi","","","","SOCIAL SCIENCE & MEDICINE","DEC 2018","2018","218","","","","","21","27","","10.1016/j.socscimed.2018.09.017","","","49","7.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9","10","15","12","2"
""If you aren't White, Asian or Indian, you aren't an engineer": racial microaggressions in STEM education","Lee, Meggan J.; Collins, Jasmine D.; Harwood, Stacy Anne; Mendenhall, Ruby; Huntt, Margaret Browne","","","","INTERNATIONAL JOURNAL OF STEM EDUCATION","SEP 14 2020","2020","7","1","","","","","","48","10.1186/s40594-020-00241-4","","","48","9.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","13","24","3"
"Black-White Health Inequalities in Canada","Veenstra, Gerry; Patterson, Andrew C.","","","","JOURNAL OF IMMIGRANT AND MINORITY HEALTH","FEB 2016","2016","18","1","","","","51","57","","10.1007/s10903-014-0140-6","","","48","5.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","6","4","2","5","12","7","5","5"
""I Know I Have to Work Twice as Hard and Hope That Makes Me Good Enough": Exploring the Stress and Strain of Black Doctoral Students in Engineering and Computing","McGee, Ebony O.; Griffith, Derek M.; Houston, Stacey L., II","","","","TEACHERS COLLEGE RECORD","APR 2019","2019","121","4","","","","","","040307","","","","47","7.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","10","11","19","3"
"Black Lives Matter protests shift public discourse","Dunivin, Zackary Okun; Yan, Harry Yaojun; Ince, Jelani; Rojas, Fabio","","","","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","MAR 8 2022","2022","119","10","","","","","","e2117320119","10.1073/pnas.2117320119","","","46","15.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","24","11"
"The Intersectional Experiences of Black Women in Computing","Rankin, Yolanda A.; Thomas, Jakita O.","","","","SIGCSE 2020: PROCEEDINGS OF THE 51ST ACM TECHNICAL SYMPOSIUM ON COMPUTER SCIENCE EDUCATION","2020","2020","","","","","","199","205","","10.1145/3328778.3366873","51st ACM SIGCSE Technical Symposium on Computer Science Education (SIGCSE)","MAR 11-14, 2020","44","8.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","13","18","6"
"Speaking Truth to Power: Exploring the Intersectional Experiences of Black Women in Computing","Thomas, Jakita O.; Joseph, Nicole; Williams, Arian; Crum, Chan'tel; Burge, Jamika","","","Payton, J; Thiruvathukal, GK; Burge, J; Stukes, F; Rankin, Y; Dillon, E","2018 RESEARCH ON EQUITY AND SUSTAINED PARTICIPATION IN ENGINEERING, COMPUTING, AND TECHNOLOGY (RESPECT)","2018","2018","","","","","","","","","","3rd Conference on Research on Equity and Sustained Participation in Engineering, Computing, and Technology (RESPECT)","FEB 21, 2018","44","6.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","14","6","14","3"
"Governing the resilience of neoliberalism through biopolitics","Mavelli, Luca","","","","EUROPEAN JOURNAL OF INTERNATIONAL RELATIONS","SEP 2017","2017","23","3","","","","489","512","","10.1177/1354066116676321","","","44","5.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","10","11","6","7","5","1"
"Equity in college physics student learning: A critical quantitative intersectionality investigation","Van Dusen, Ben; Nissen, Jayson","","","","JOURNAL OF RESEARCH IN SCIENCE TEACHING","JAN 2020","2020","57","1","","","","33","57","","10.1002/tea.21584","","","42","8.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","6","14","12","5"
"Where Do We Go from Here? Toward a Critical Race English Education","Johnson, Lamar L.","","","","RESEARCH IN THE TEACHING OF ENGLISH","NOV 2018","2018","53","2","","","","102","124","","","","","42","6.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9","11","7","10","4"
"Reconsidering Systems-Based Practice: Advancing Structural Competency, Health Equity, and Social Responsibility in Graduate Medical Education","Castillo, Enrico G.; Isom, Jessica; DeBonis, Katrina L.; Jordan, Ayana; Braslow, Joel T.; Rohrbaugh, Robert","","","","ACADEMIC MEDICINE","DEC 2020","2020","95","12","","","","1817","1822","","10.1097/ACM.0000000000003559","","","41","8.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","14","9","13","4"
"A qualitative study of COVID-19 vaccine intentions and mistrust in Black Americans: Recommendations for vaccine dissemination and uptake","Dong, Lu; Bogart, Laura M.; Gandhi, Priya; Aboagye, James B.; Ryan, Samantha; Serwanga, Rosette; Ojikutu, Bisola O.","","","","PLOS ONE","MAY 3 2022","2022","17","5","","","","","","e0268020","10.1371/journal.pone.0268020","","","40","13.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","22","10"
"How Race and Class Stereotyping Shapes Attitudes Toward Affordable Housing","Tighe, J. Rosie","","","","HOUSING STUDIES","2012","2012","27","7","","","","962","983","","10.1080/02673037.2012.725831","","","40","3.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","5","2","5","5","3","8","4","3"
"Addressing racial and phenotypic bias in human neuroscience methods","Webb, E. Kate; Etter, J. Arthur; Kwasa, Jasmine A.","","","","NATURE NEUROSCIENCE","APR 2022","2022","25","4","","","","410","414","","10.1038/s41593-022-01046-0","","","39","13.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","23","6"
"From 'Chinky' to 'Coronavirus': racism against Northeast Indians during the Covid-19 pandemic","Haokip, Thongkholal","","","","ASIAN ETHNICITY","2021","2021","22","2","","","SI","353","373","","10.1080/14631369.2020.1763161","","","39","9.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","12","14","9","3"
"Toward Intentional Diversity, Equity, and Respect in Chemistry Research and Practice","Wilson-Kennedy, Zakiya S.; Payton-Stewart, Florastina; Winfield, Leyte L.","","","","JOURNAL OF CHEMICAL EDUCATION","AUG 11 2020","2020","97","8","","","","2041","2044","","10.1021/acs.jchemed.0c00963","","","39","7.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","20","9","2"
"Associations between learning assistants, passing introductory physics, and equity: A quantitative critical race theory investigation","Van Dusen, Ben; Nissen, Jayson","","","","PHYSICAL REVIEW PHYSICS EDUCATION RESEARCH","APR 9 2020","2020","16","1","","","","","","010117","10.1103/PhysRevPhysEducRes.16.010117","","","38","7.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","16","9","5"
"Equity for women and underrepresented minorities in STEM: Graduate experiences and career plans in chemistry","Stockard, Jean; Rohlfing, Celeste M.; Richmond, Geraldine L.","","","","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","JAN 26 2021","2021","118","4","","","","","","e2020508118","10.1073/pnas.2020508118","","","37","9.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","14","12","3"
"Ensuring Equitable Implementation of Telemedicine in Perinatal Care","Ukoha, Erinma P.; Davis, Kelly; Yinger, Meredith; Butler, Blythe; Ross, Tamia; Crear-Perry, Joia; Perron-Burdick, Misa; Nijagal, Malini A.","","","","OBSTETRICS AND GYNECOLOGY","MAR 2021","2021","137","3","","","","487","492","","10.1097/AOG.0000000000004276","","","36","9.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","9","19","3"
"Appeasement: Whites' Strategic Support for Affirmative Action","Chow, Rosalind M.; Lowery, Brian S.; Hogan, Caitlin M.","","","","PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN","MAR 2013","2013","39","3","","","","332","345","","10.1177/0146167212475224","","","36","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","3","3","2","3","5","2","9","1","3"
"Of models and myths: Asian(Americans) in STEM and the neoliberal racial project","Chen, Grace A.; Buell, Jason Y.","","","","RACE ETHNICITY AND EDUCATION","2018","2018","21","5","","","","607","625","","10.1080/13613324.2017.1377170","","","35","5.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","5","4","13","5","4"
"The double-edged sword of diversity: Toward a dual pathway model","Carter, Ashli B.; Phillips, Katherine W.","","","","SOCIAL AND PERSONALITY PSYCHOLOGY COMPASS","MAY 2017","2017","11","5","","","","","","e12313","10.1111/spc3.12313","","","35","4.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","2","12","10","5","1"
"Race and theory: Culture, poverty, and adaptation to discrimination in Wilson and Ogbu","Gould, M","","","","SOCIOLOGICAL THEORY","JUL 1999","1999","17","2","","","","171","200","","10.1111/0735-2751.00074","90th Annual Meeting of the American-Sociological-Association","AUG 17-23, 1995","35","1.35","0","0","0","0","0","0","0","1","0","1","0","2","2","0","0","2","2","4","4","2","1","1","0","1","1","1","0","0","0","4","2","4","0"
"An Expert Discussion on Structural Racism in Autism Research and Practice","Jones, Desiree R.; Nicolaidis, Christina; Ellwood, Lisa J.; Garcia, Arianne; Johnson, Khalilah R.; Lopez, Kristina; Waisman, T. C.","","","","AUTISM IN ADULTHOOD","DEC 2020","2020","2","4","","","","273","281","","10.1089/aut.2020.29015.drj","","","34","6.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","15","10","3"
"Access to cancer care among Indigenous peoples in Canada: A scoping review","Horrill, Tara C.; Linton, Janice; Lavoie, Josee G.; Martin, Donna; Wiens, Allison; Schultz, Annette S. H.","","","","SOCIAL SCIENCE & MEDICINE","OCT 2019","2019","238","","","","","","","112495","10.1016/j.socscimed.2019.112495","","","32","5.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","12","5","10","3"
"Searching for the Promised Land: Examining Dr Martin Luther King's Concept of the Beloved Community","Inwood, Joshua F. J.","","","","ANTIPODE","JUN 2009","2009","41","3","","","","487","508","","10.1111/j.1467-8330.2009.00684.x","","","31","1.94","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","3","1","2","4","1","4","4","3","3","2","0","0"
"Racism camouflaged as impostorism and the impact on black STEM doctoral students","McGee, Ebony O.; Botchway, Portia K.; Naphan-Kingery, Dara E.; Brockman, Amanda J.; Houston, Stacey, II; White, Devin T.","","","","RACE ETHNICITY AND EDUCATION","JUN 7 2022","2022","25","4","","","","487","507","","10.1080/13613324.2021.1924137","","","30","7.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","11","12","3"
"Blood Quantum and Perceptions of Black-White Biracial Targets: The Black Ancestry Prototype Model of Affirmative Action","Sanchez, Diana T.; Good, Jessica J.; Chavez, George","","","","PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN","JAN 2011","2011","37","1","","","","3","14","","10.1177/0146167210389473","","","30","2.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","2","3","1","3","3","2","4","1","6","0","0"
"Structural racism is a mediator of disparities in acute myeloid leukemia outcomes","Abraham, Ivy Elizabeth; Rauscher, Garth H.; Patel, Anand Ashwin; Pearse, William B.; Rajakumar, Priya; Burkart, Madelyn; Aleem, Ahmed; Dave, Ami; Bharadwaj, Sushma; Paydary, Koosha; Acevedo-Mendez, Maria; Goparaju, Krishna; Gomez, Richard; Carlson, Kylie; Tsai, Stephanie B.; Quigley, John G.; Galvin, John P.; Zia, Maryam; Larson, Melissa L.; Berg, Stephanie; Stock, Wendy; Altman, Jessica K.; Khan, Irum","","","","BLOOD","APR 7 2022","2022","139","14","","","","2212","2226","","10.1182/blood.2021012830","","","28","9.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","16","4"
"Tumour Microenvironment: Roles of the Aryl Hydrocarbon Receptor, O-GlcNAcylation, Acetyl-CoA and Melatonergic Pathway in Regulating Dynamic Metabolic Interactions across Cell Types-Tumour Microenvironment and Metabolism","Anderson, George","","","","INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","JAN 2021","2021","22","1","","","","","","141","10.3390/ijms22010141","","","28","7.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","8","15","1"
"Why Has Human-Carnivore Conflict Not Been Resolved in Namibia?","Rust, Niki A.; Tzanopoulos, Joseph; Humle, Tatyana; MacMillan, Douglas C.","","","","SOCIETY & NATURAL RESOURCES","2016","2016","29","9","","","","1079","1094","","10.1080/08941920.2016.1150544","","","28","3.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","7","4","4","5","1","3","0"
"Trends in the Representation of Women Among US Geoscience Faculty From 1999 to 2020: The Long Road Toward Gender Parity","Ranganathan, Meghana; Lalk, Ellen; Freese, Lyssa M.; Freilich, Mara A.; Wilcots, Julia; Duffy, Margaret L.; Shivamoggi, Rohini","","","","AGU ADVANCES","SEP 2021","2021","2","3","","","","","","e2021AV000436","10.1029/2021AV000436","","","26","6.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","14","3"
